# Vale do Vento Sombrio: O Dragão e o Altar  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Taberneiro estuda fungo e oferece bolota mágica a Vaunia.<br>- Grupo (Triss, Markus, Conan, Vaunia, Dustin, Grix) regressa ao Vale do Vento Sombrio.<br>- Acampamento e recolha de loot.<br>- Sonho com elfos Eladrin, Grix recebe inspiração.<br>- Ataque de kobolds cultistas; loot: 34 GP, bastão, mão de dedos.<br>- Encontram Clipse (kobold), que revela domínio do dragão Syzzin.<br>- Markus é charmed por Syzzin; dragão hostil ao culto dos fungos.<br>- Altar de Wee Jas: energia fiend, símbolos de morte/lei/magia.<br>- Conhecem Rix (kobold), falam sobre comércio e minas.<br>- Loot: 234 GP, scrolls, cloaks, possível rubi/esmeralda.<br>- Floresta recupera, mas altar mantém influência fiend.<br> | - Innkeeper studies fungus, gives magic acorn to Vaunia.<br>- Group (Triss, Markus, Conan, Vaunia, Dustin, Grix) returns to Vale do Vento Sombrio.<br>- Camping and loot gathering.<br>- Dream with Eladrin elves, Grix gets inspiration.<br>- Kobold cultists attack; loot: 34 GP, staff, hand of fingers.<br>- Meet Clipse (kobold), who reveals young dragon Syzzins rule.<br>- Markus is charmed by Syzzin; dragon hostile to fungus cult.<br>- Altar of Wee Jas: fiend energy, death/law/magic symbols.<br>- Meet Rix (kobold), discuss trade and mines.<br>- Loot: 234 GP, scrolls, cloaks, possible ruby/emerald.<br>- Forest recovers, but altar holds fiendish influence.<br> |
| **NPCs:** Syzzin (dragão), Clipse (kobold), Rix (kobold), kobolds cultistas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | **NPCs:** Syzzin (dragon), Clipse (kobold), Rix (kobold), kobold cultists                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| **Loot:** 234GP, Alarm scroll, Comprehend Languages scroll, cloaks, cultist loot, possível rubi/esmeralda                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | **Loot:** 234GP, Alarm scroll, Comprehend Languages scroll, cloaks, cultist loot, possible ruby/emerald                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| **Data:** 2025-01-23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | **Date:** 2025-01-23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| **Ficheiros de origem:** s04_vale_do_vento_sombrio_dragao_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | **Source files:** s04_vale_do_vento_sombrio_dragao_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |





















<!-- ==== s04_vale_do_vento_sombrio_dragao_ready.md ==== -->

# Vale do Vento Sombrio: O Dragão e o Altar  Ready to Play

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Taberneiro estuda fungo, oferece bolota mágica a Vaunia.<br><br>**Cena 1: Regressam ao vale**<br>- Acampamento, recolha de loot, sonhos com elfos.<br><br>**Cena 2: Ataques de kobolds cultistas**<br>- Combate, loot.<br><br>**Cena 3: Clipse e Syzzin**<br>- Kobold revela domínio do dragão, Syzzin.<br>- Markus tenta negociar, é charmed.<br><br>**Cena 4: Altar de Wee Jas**<br>- Investigam altar, sentem energia fiend.<br>- Rix fala sobre minas e comércio.<br><br>**Cena 5: Recompensas**<br>- Loot: GP, scrolls, cloaks, rubi/esmeralda.<br>- Floresta recupera, mas altar permanece corrompido.<br> | **Introduction:** Innkeeper studies fungus, gives magic acorn to Vaunia.<br><br>**Scene 1: Return to the vale**<br>- Camping, loot gathering, dreams with elves.<br><br>**Scene 2: Kobold cultist attacks**<br>- Combat, loot.<br><br>**Scene 3: Clipse and Syzzin**<br>- Kobold reveals young dragon Syzzins rule.<br>- Markus tries to negotiate, is charmed.<br><br>**Scene 4: Altar of Wee Jas**<br>- Investigate altar, feel fiend energy.<br>- Rix talks about mines and trade.<br><br>**Scene 5: Rewards**<br>- Loot: GP, scrolls, cloaks, ruby/emerald.<br>- Forest recovers, altar remains corrupted.<br> |
| **NPCs:** Syzzin (dragão), Clipse (kobold), Rix (kobold), kobolds cultistas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | **NPCs:** Syzzin (dragon), Clipse (kobold), Rix (kobold), kobold cultists                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| **Loot:** 234GP, Alarm scroll, Comprehend Languages scroll, cloaks, cultist loot, possível rubi/esmeralda                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | **Loot:** 234GP, Alarm scroll, Comprehend Languages scroll, cloaks, cultist loot, possible ruby/emerald                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| **Data:** 2025-01-23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | **Date:** 2025-01-23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| **Ficheiros de origem:** s04_vale_do_vento_sombrio_dragao_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | **Source files:** s04_vale_do_vento_sombrio_dragao_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |





















<!-- ==== s04_vale_do_vento_sombrio_dragao_summary.md ==== -->

# Vale do Vento Sombrio: O Dragão e o Altar

| Português | English |
|-----------|---------|
| **Descrição:** Taberneiro revela capacidades telepáticas do fungo. Grupo regressa ao Vale do Vento Sombrio, encontra kobolds cultistas e Syzzin, o dragão vermelho jovem, hostil ao culto dos fungos. Descobrem altar de Wee Jas corrompido. Loot: tesouro, pergaminhos mágicos, cloaks, possível rubi/esmeralda. Floresta recupera, mas altar permanece com influência sombria.<br> | **Description:** Innkeeper reveals telepathic powers of the fungus. Group returns to Vale do Vento Sombrio, finds kobold cultists and Syzzin, the young red dragon, hostile to the fungus cult. Discover corrupted altar of Wee Jas. Loot: treasure, magic scrolls, cloaks, possible ruby/emerald. Forest recovers, but altar remains with dark influence.<br> |
| **PCs:** Triss, Markus, Conan, Vaunia, Dustin, Grix | **PCs:** Triss, Markus, Conan, Vaunia, Dustin, Grix |
| **NPCs:** Syzzin (dragão), Clipse (kobold), Rix (kobold), kobolds cultistas | **NPCs:** Syzzin (dragon), Clipse (kobold), Rix (kobold), kobold cultists |
