# Dificuldades na Mina de Obsidiana  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Taverneiro tem visão mágica de um anão ferido (Kristryd Splitanvil) a pedir ajuda numa mina.<br>- Grupo recebe instruções de teleporte mágico para mina de obsidiana (Montanhas de Cairn, perto de Blackstone).<br>- Exploração claustrofóbica da mina: corredores apertados, trilhos enferrujados.<br>- Encontram esqueleto de anão (Thargrin), carta de despedida.<br>- Encontros com: violet fungi, rust monster, giant spider, darkmantle, piercers, yellow mold, gelatinous cube (Triss quase morre).<br>- Sons de arranhar e cliques: Hook Horror.<br>- Derrotam Hook Horror; coletam a cabeça e 6 dentes grandes.<br>- Encontram Kristryd Splitanvil, prefeito e clérigo de Pelor, ferido.<br>- Kristryd pede para salvar Blackstone.<br>- Entregam carta de Thargrin; homenagem.<br>- Triss recebe topázio como recompensa.<br>- Kristryd promete ajudar em futuras expedições.<br>- Reforço de alianças com Blackstone.<br> | - Innkeeper receives magical vision of a wounded dwarf (Kristryd Splitanvil) asking for help in a mine.<br>- Group receives magical teleport instructions to the obsidian mine (Cairn Mountains, near Blackstone).<br>- Claustrophobic exploration of the mine: tight corridors, rusty tracks.<br>- Find a dwarf skeleton (Thargrin), farewell letter.<br>- Encounters: violet fungi, rust monster, giant spider, darkmantle, piercers, yellow mold, gelatinous cube (Triss nearly dies).<br>- Scratching and clicking sounds: Hook Horror.<br>- Defeat Hook Horror; collect its head and 6 large teeth.<br>- Find Kristryd Splitanvil, mayor and cleric of Pelor, wounded.<br>- Kristryd asks to save Blackstone.<br>- Deliver Thargrins letter; tribute to the fallen miner.<br>- Triss receives a topaz as reward.<br>- Kristryd promises help in future expeditions.<br>- Stronger alliances with Blackstone.<br> |
| **NPCs:** Kristryd Splitanvil, Thargrin (anão morto), Hook Horror, Rust Monster, Giant Spider                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **NPCs:** Kristryd Splitanvil, Thargrin (dead dwarf), Hook Horror, Rust Monster, Giant Spider                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Loot:** Hook horror teeth, topázio (Triss), carta de Thargrin, ajuda futura de Kristryd, item mágico possível                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | **Loot:** Hook horror teeth, topaz (Triss), Thargrins letter, future help from Kristryd, possible magic item                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| **Data:** 2025-01-09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Date:** 2025-01-09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| **Ficheiros de origem:** s02_-_2025-01-09.md, s02_dificuldades_na_mina_de_obsidiana_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **Source files:** s02_-_2025-01-09.md, s02_dificuldades_na_mina_de_obsidiana_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |




















<!-- ==== s02_dificuldades_na_mina_de_obsidiana_ready.md ==== -->

# Dificuldades na Mina de Obsidiana  Ready to Play

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
