# Acampamento Goblin & Resgate da Caravana  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | English                                                                                                                                                                                                                                                                                                                                                                                                                    |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Missão do taberneiro: investigar raptos/caravana atacada.<br>- Grupo chega ao acampamento goblin: ogre vigia, patrulhas.<br>- Uso criativo de ilusões para derrotar o ogre.<br>- Emboscada furtiva e libertação de prisioneiros (humanos, elfos, goblins submissos).<br>- Enfrentam Jogmaahx, xamã goblin, em ritual para Nerull.<br>- Descoberta de carta de Vaelkor Ashbrand.<br>- Destruição do acampamento e retorno à taberna.<br>- Recompensa e rumores de novos perigos.<br> | - Innkeepers quest: investigate kidnappings/caravan attack.<br>- Group finds goblin camp: ogre watchman, patrols.<br>- Creative illusions to defeat ogre.<br>- Stealth ambush and rescue of prisoners (humans, elves, submissive goblins).<br>- Face Jogmaahx, goblin shaman, in ritual to Nerull.<br>- Find letter from Vaelkor Ashbrand.<br>- Destroy camp, return to tavern.<br>- Reward and rumors of new dangers.<br> |
| **NPCs:** Taverneiro, sobrinha, Jogmaahx (xamã goblin), ogre, patrulha goblin, escravos goblin, Vaelkor Ashbrand (mencionado), prisioneiros humanos/élficos                                                                                                                                                                                                                                                                                                                           | **NPCs:** Innkeeper, niece, Jogmaahx (goblin shaman), ogre, goblin patrol, goblin slaves, Vaelkor Ashbrand (mentioned), human/elven prisoners                                                                                                                                                                                                                                                                              |
| **Loot:** 50GP cada, carta Vaelkor Ashbrand, armas goblin                                                                                                                                                                                                                                                                                                                                                                                                                             | **Loot:** 50GP each, Vaelkor Ashbrands letter, goblin weapons                                                                                                                                                                                                                                                                                                                                                              |
| **Data:** 2025-01-30                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | **Date:** 2025-01-30                                                                                                                                                                                                                                                                                                                                                                                                       |
| **Ficheiros de origem:** s05_acampamento_goblin_caravana_resgate_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                            | **Source files:** s05_acampamento_goblin_caravana_resgate_pontos.md                                                                                                                                                                                                                                                                                                                                                        |




















<!-- ==== s05_o_altar_de_sangue_no_campo_goblin_ready.md ==== -->

# O Altar de Sangue no Campo Goblin  Ready to Play

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Taverneiro (ou sobrinha) pede investigação de ataques a caravanas.<br><br>**Cena 1: Clareira dos Goblins**<br>- Acampamento improvisado, ogre vigia, patrulhas goblin.<br>- Stealth ou ilusões para neutralizar o ogre.<br><br>**Cena 2: Libertação dos Prisioneiros**<br>- Humanos, elfos, goblins submissos em jaulas.<br>- Jogmaahx lidera ritual sombrio.<br>- Possibilidade de negociação ou combate.<br><br>**Cena 3: Ritual de Nerull**<br>- Jogmaahx prepara sacrifício.<br>- Combate com goblins, mortos-vivos, magias sombrias.<br>- Elemento moral: destino dos goblins capturados, destruir altar ou preservar provas.<br>- Carta de Vaelkor Ashbrand encontrada.<br><br>**Cena 4: Regresso e Consequências**<br>- Prisioneiros libertos, possíveis aliados.<br>- Provas entregues na taberna.<br>- Recompensa e rumores sobre o culto.<br> | **Introduction:** Innkeeper (or niece) requests investigation of caravan attacks.<br><br>**Scene 1: Goblin Clearing**<br>- Makeshift camp, ogre watchman, goblin patrols.<br>- Stealth or illusions to neutralize ogre.<br><br>**Scene 2: Prisoner Rescue**<br>- Humans, elves, submissive goblins in cages.<br>- Jogmaahx leads a dark ritual.<br>- Option to negotiate or fight.<br><br>**Scene 3: Ritual of Nerull**<br>- Jogmaahx prepares a sacrifice.<br>- Combat with goblins, undead, dark magic.<br>- Moral element: fate of captured goblins, destroy altar or preserve evidence.<br>- Vaelkor Ashbrands letter found.<br><br>**Scene 4: Return and Consequences**<br>- Freed prisoners, possible allies.<br>- Evidence delivered at tavern.<br>- Reward and rumors about the cult.<br> |
| **NPCs:** Taverneiro, sobrinha, Jogmaahx (xamã goblin), ogre, patrulha goblin, escravos goblin, Vaelkor Ashbrand (mencionado), prisioneiros humanos/élficos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | **NPCs:** Innkeeper, niece, Jogmaahx (goblin shaman), ogre, goblin patrol, goblin slaves, Vaelkor Ashbrand (mentioned), human/elven prisoners                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| **Loot:** 50GP cada, carta Vaelkor Ashbrand, armas goblin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | **Loot:** 50GP each, Vaelkor Ashbrands letter, goblin weapons                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Data:** 2025-01-30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | **Date:** 2025-01-30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| **Ficheiros de origem:** s05_acampamento_goblin_caravana_resgate_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | **Source files:** s05_acampamento_goblin_caravana_resgate_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |

















