# O Golpe dos Dados Rubi: Bullet Points

| Português                                                            | English                                                             |
| -------------------------------------------------------------------- | ------------------------------------------------------------------- |
| - Grupo recebe missão via pergaminho mágico.                         | - Party receives mission via magical scroll.                        |
| - Entram no Armazém Hexagonal com puzzles cooperativos.              | - Enter Hexagonal Warehouse with cooperative puzzles.               |
| - Devem resolver pelo menos três enigmas para seguir.                | - Must solve at least three puzzles to proceed.                     |
| - Infiltram o cassino “O Quinto Jogo” usando disfarces e diplomacia. | - Infiltrate “The Fifth Game” casino using disguises and diplomacy. |
| - Recebem carta de Lorde Debren com instruções secretas.             | - Receive secret instructions from Lord Debren.                     |
| - Sala do Cavaleiro: puzzle de xadrez com armadilhas.                | - Knight’s Room: chess puzzle with traps.                           |
| - Sala do Cofre: três trancas — mecânica, mágica e de intenção.      | - Vault Room: three locks — mechanical, magical, and intent-based.  |
| - Fragmento entregue ao Lorde; dados ao contratante.                 | - Fragment given to the Lord; dice to the contractor.               |
| - Datas: 2025-05-29 (S21), 2025-06-05 (S22)                          |                                                                     |

<!-- ==== s21_s22_casino_heist_ready.md ==== -->

## 🎭 Ready to Play

# O Golpe dos Dados Rubi: Ready to Play**

|Português|English|
|---|---|
|**Introdução:** A missão começa com um contrato mágico entregue numa taverna.|**Introduction:** The mission starts with a magical contract delivered at a tavern.|
|**Cena 1: O Armazém Hexagonal**- Seis selos mágicos com puzzles ligados a diferentes perícias.- Ilusões e memórias testam a moral e competências do grupo.- Três enigmas precisam ser superados.|**Scene 1: The Hexagonal Warehouse**- Six magical seals with puzzles linked to different skills.- Illusions and flashbacks test the group’s morality and abilities.- At least three puzzles must be solved.|
|**Cena 2: O Cassino “O Quinto Jogo”**- Mistura de socialização, espionagem e exploração.- Interação com NPCs como Velric e Lord Devraine.- Carta de Devraine oferece rota secreta.|**Scene 2: “The Fifth Game” Casino**- Blend of socializing, espionage, and exploration.- NPC interaction with Velric and Lord Devraine.- Devraine’s letter offers secret route.|
|**Cena 3: Sala do Cavaleiro e Cofre**- Puzzle com movimento de cavaleiro de xadrez e torres animadas.- Cofre com três camadas: fechadura física, selo mágico, e tranca moral.|**Scene 3: Knight Room and Vault**- Puzzle with chess knight movement and animated rooks.- Vault with three layers: physical lock, magical seal, and moral lock.|
|**Cena 4: A Extração**- Grupo foge com os dados e o fragmento.- Reputação com o submundo aumenta.|**Scene 4: The Extraction**- Group escapes with dice and fragment.- Reputation in the underworld grows.|
|**🎭 Personagens & Funções**|**🎭 NPCs & Roles**|
|**🕷️ Drennar Solace – “A Aranha Dourada”**- Mestre do crime que testa e recruta o grupo. Não é dono do cassino, mas usa-o como palco do desafio. - Função: Orquestra o teste do Armazém e avalia a missão.|**🕷️ Drennar Solace – “The Gilded Spider”**- Criminal mastermind who recruits and tests the party. Doesn’t own the casino but uses it for the challenge.- Function: Orchestrates Warehouse Web and evaluates success.|
|**🎲 Velric “Veludo” Dazzlehand – Chefe de Piso Halfling**- Detecta batotas e falsas identidades.- Função: Obstáculo social; pode chamar os Luckkeepers.|**🎲 Velric “Velvet” Dazzlehand – Halfling Pit Boss**- Detects cheating and false identities.- Function: Social obstacle; can summon Luckkeepers.|
|**🪓 Big Lou – Porteiro Meio-Ogro**- Guarda o acesso VIP. Pacífico mas temível. - Função: Obstáculo físico; pode ser convencido ou enfrentado.|**🪓 Big Lou – Half-Ogre Bouncer**- Guards VIP access. Peaceful but formidable.- Function: Physical barrier; can be negotiated or overpowered.|
|**🎩 Lorde Aleister Devraine – Nobre Arrogante**- Jogador com acesso restrito aos bastidores.- Função: Obstáculo ou aliado; pode ser manipulado.|**🎩 Lord Aleister Devraine – Arrogant Noble**- Gambler with backstage access.- Function: Ally or obstacle; can be flattered or manipulated.|
|**🪞 Sirona da Agulha Velada – Ilusionista Élfica**- Arquitetou a segurança mágica do cassino.- Função: Obstáculo mágico; manipula layout e armadilhas.|**🪞 Sirona of the Veiled Spire – Elven Illusionist**- Designed casino’s magical security.- Function: Major magical obstacle; creates traps and misleading paths.|
|**🔐 Luckkeepers – Autómatos Arcanos**- Sentinelas imunes a feitiços sociais.- Função: Mantêm ordem; podem desativar ilusões e marcar intrusos.|**🔐 Luckkeeper Constructs – Arcane Guardians**- Immune to charm/fear; enforce security.- Function: Detect intruders, dispel illusions, raise alarms.|
|**🕸️ Figuras do Teste Anterior (Armazém)**- Espírito da Câmara Silenciosa, Mestres do Duelo Falso, Pintura Vigilante, Dançarina dos Espelhos, Espírito do Juramento, Leiloeiro da Troca Rubi.|**🕸️ Previous Test Figures (Warehouse Web)**- Silent Vault Spirit, False Duel Overseers, Painted Chamber Watcher, Mirror Masquerade Dancer, Stained Oath Spirit, Ruby Exchange Auctioneer.|

<!-- ==== s21_s22_casino_heist_summary.md ==== -->

# O Golpe dos Dados Rubi / The Ruby Dice Heist

| Português (PT-PT)                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | English (EN-US)                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 📅 Datas: 2025-05-29 (S21), 2025-06-05 (S22)                                                                                                                                                                                                                                                                                                                                                                                                                                       | 📅 Dates: 2025-05-29 (S21), 2025-06-05 (S22)                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 📍 Localização: Armazém Lacrado + Casino “O Quinto Jogo”, Bairro do Rio, Cidade Livre de Greyhawk                                                                                                                                                                                                                                                                                                                                                                                  | 📍 Location: Sealed Warehouse + “The Fifth Game” Casino, River Quarter, Free City of Greyhawk                                                                                                                                                                                                                                                                                                                                                                      |
