# O Ídolo de Lady Scale / The Idol of Lady Scale
## 🎭 Ready to Play  
**Sessão 28 — O Ídolo de Lady Scale / The Idol of Lady Scale**

| Português                                                                                                                                                                                                                      | English                                                                                                                                                                                                                 |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Os aventureiros conhecem Lady Silvra, que possui um título de propriedade e uma carta enigmática.                                                                                                              | **Introduction:** The adventurers meet Lady Silvra, who holds a property title and a mysterious letter.                                                                                                                 |
| **Cena 1: Solar de Lady Silvra**<br>- A carta está escrita em dracónico arcaico.<br>- A missão é descobrir o paradeiro da propriedade mencionada.                                                                              | **Scene 1: Lady Silvra’s Manor**<br>- The letter is written in archaic Draconic.<br>- The quest is to find the estate's location.                                                                                       |
| **Cena 2: Pesquisa Urbana**<br>- Wenla, uma livreira gnoma, dá pistas vagas sobre uma antiga estância.<br>- A Grande Biblioteca revela mais sobre o passado do local.<br>- Eldric marca aulas de Infernal com a curadora Lyra. | **Scene 2: Urban Research**<br>- Wenla, the gnome bookseller, gives vague hints about an old spa.<br>- The Great Library reveals more about the site’s history.<br>- Eldric secures Infernal lessons with curator Lyra. |
| **Cena 3: Viagem e Emboscada**<br>- O grupo parte da cidade em direção às terras altas.<br>- São emboscados por goblins numa estrada florestal.<br>- Após batalha, o chefe escapa.                                             | **Scene 3: Travel and Ambush**<br>- The group leaves the city toward the highlands.<br>- They are ambushed by goblins on a forest road.<br>- After battle, the boss escapes.                                            |
| **NPCs:** Lady Silvra Malren, Wenla Frott, Mistress Lyral Quil, Chefe Goblin                                                                                                                                                   | **NPCs:** Lady Silvra Malren, Wenla Frott, Mistress Lyral Quil, Goblin Boss                                                                                                                                             |


<!-- ==== s29_idolo_de_lady_scale_ready.md ==== -->

# O Ídolo de Lady Scale / The Idol of Lady Scale
## 🎭 Ready to Play  
**Sessão 29 — O Ídolo de Lady Scale: Ready to Play**

| Português                                                                                                                                                                                             | English                                                                                                                                                                                            |
| ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Os aventureiros encontram o acampamento de Wandering Sage nas montanhas.                                                                                                              | **Introduction:** The adventurers find Wandering Sage’s camp in the highlands.                                                                                                                     |
| **Cena 1: O Recrutamento**<br>- Wandering Sage aceita juntar-se à missão.<br>- O grupo parte rumo a novas pistas.                                                                                     | **Scene 1: The Recruitment**<br>- Wandering Sage agrees to join.<br>- Party heads out in search of new clues.                                                                                      |
| **Cena 2: As Ruínas Trogloditas**<br>- Encontro tenso com trogloditas.<br>- Eldric negocia com sucesso, evitando combate.<br>- Sacerdotisa reafirma controlo sobre a tribo.                           | **Scene 2: The Lizardfolk Ruins**<br>- Tense encounter with lizardfolk.<br>- Eldric successfully negotiates, avoiding battle.<br>- High priestess regains tribal control.                          |
| **Cena 3: Troca Cultural e Ruínas Submersas**<br>- Lições de culinária e trocas insólitas.<br>- Investigam ruínas submersas com ligação à lagoa azul.<br>- Combate aquático, fuga e retoma da viagem. | **Scene 3: Cultural Exchange and Submerged Ruins**<br>- Cooking lessons and strange trades.<br>- Investigate ruins linked to the blue lagoon.<br>- Underwater combat, escape, and journey resumes. |
| **NPCs:** Lizardfolk High Priestess, Lizardfolk Acolytes, Skeletons                                                                                                                                   | **NPCs:** Lizardfolk High Priestess, Lizardfolk Acolytes, Skeletons                                                                                                                                |


<!-- ==== s30_idolo_de_lady_scale_ready.md ==== -->

# O Ídolo de Lady Scale / The Idol of Lady Scale
## 🎭 Ready to Play  
**Sessão 30 — O Ídolo de Lady Scale: Ready to Play**

| Português | English |
|-----------|---------|
| **Introdução:** Os aventureiros estão prestes a chegar à estância. Encontram Eirwen, que se junta ao grupo. | **Introduction:** The adventurers are about to reach the spa. They meet Eirwen, who joins the group. |
| **Cena 1: Chegada à Estância Kobold**<br>- Os kobolds acolhem os visitantes com entusiasmo.<br>- Oferecem serviços de spa com efeitos variados (positivos e negativos). | **Scene 1: Arrival at the Kobold Spa**<br>- Kobolds welcome the visitors enthusiastically.<br>- Spa services have varied effects (boons and drawbacks). |
| **Cena 2: A Sala Silenciosa**<br>- O fantasma de Lady Scale aparece.<br>- Pede aos aventureiros que a libertem do barulho incessante.<br>- Os kobolds interpretam mal e veem-na como uma deusa barulhenta. | **Scene 2: The Silent Room**<br>- Lady Scale’s ghost appears.<br>- She asks the adventurers to silence the kobolds.<br>- Kobolds misinterpret and believe she is a noise-loving goddess. |
| **Cena 3: Batalha Caótica**<br>- Conflito geral: kobolds, PCs e Lady Scale.<br>- A presença da fantasma causa dano psíquico e confusão.<br>- A estância é purificada após vítimas dos dois lados. | **Scene 3: Chaotic Battle**<br>- General conflict: kobolds, PCs, and Lady Scale.<br>- Ghost’s presence causes psychic damage and confusion.<br>- Spa is cleared after casualties on both sides. |
| **NPCs:** Eirwen, Lady Scale, Snert/Pufftail (sacerdote kobold), Kobolds cromáticos (The Scale-Flock) | **NPCs:** Eirwen, Lady Scale, Snert/Pufftail (kobold priest), Chromatic Kobolds (The Scale-Flock) |

