# Grutas do Pântano: Bullywugs, Baltigard & o Basilisco  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Companhia envia grupo para explorar grutas a sul.<br>- Travessia por pântano místico; ambiente denso, fauna estranha.<br>- Encontram Baltigard (humano, conhecido de Brok) e Cocas (bullywug, amigo de infância de Conan).<br>- Bullywugs acolhem grupo; chefe Mestre Yoda relata ataque de cria de basilisco.<br>- Missão: derrotar basilisco progenitor para proteger a aldeia.<br>- Caminho passa por ruínas antigas com duas pedras mágicas e pintura rupestre de nave a entregar pedras a três pessoas.<br>- Sessão termina à porta do terceiro templo.<br> | - Company sends group to explore southern caves.<br>- Trek through a mystical swamp; dense environment, strange fauna.<br>- Meet Baltigard (human, acquaintance of Brok) and Cocas (bullywug, Conans childhood friend).<br>- Bullywugs welcome group; chief Mestre Yoda reports attack by basilisk spawn.<br>- Quest: defeat progenitor basilisk to protect village.<br>- On the way: ancient ruins with two magic stones and cave painting of a ship handing stones to three people.<br>- Session ends at the door to the third temple.<br> |
| **NPCs:** Baltigard, Cocas, Mestre Yoda (chefe bullywug), Brok, Conan, Basilisco Progenitor, bullywugs, sacerdotisa rival, gladiadores, cultistas elementais                                                                                                                                                                                                                                                                                                                                                                                                       | **NPCs:** Baltigard, Cocas, Mestre Yoda (bullywug chief), Brok, Conan, Progenitor Basilisk, bullywugs, rival priestess, gladiators, elemental cultists                                                                                                                                                                                                                                                                                                                                                                                       |
| **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| **Data:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | **Date:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Ficheiros de origem:** s06_grutas_pantano_bullywugs_basilisco_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **Source files:** s06_grutas_pantano_bullywugs_basilisco_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |




















<!-- ==== s06_grutas_pantano_bullywugs_basilisco_ready.md ==== -->

# Grutas do Pântano: Bullywugs, Baltigard & o Basilisco  Ready to Play

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Companhia contrata grupo para explorar grutas a sul do mapa.<br><br>**Cena 1: Travessia do Pântano**<br>- Ambiente denso e estranho, testes de Sobrevivência para evitar perigos.<br>- Encontram Baltigard (aliado de Brok) e Cocas (amigo de Conan).<br><br>**Cena 2: Aldeia Bullywug**<br>- Recepção pelo chefe Mestre Yoda.<br>- Relato de ataque de cria de basilisco.<br>- Missão: derrotar basilisco progenitor.<br><br>**Cena 3: Ruínas & Mistério**<br>- Ruínas antigas com duas pedras mágicas e pintura de nave entregando três pedras a três pessoas.<br><br>**Encerramento:**<br>- Chegam ao terceiro templo, prontos para o desafio final.<br> | **Introduction:** Company hires group to explore southern caves.<br><br>**Scene 1: Swamp Crossing**<br>- Dense, strange environment, Survival checks to avoid dangers.<br>- Meet Baltigard (Broks ally) and Cocas (Conans friend).<br><br>**Scene 2: Bullywug Village**<br>- Welcomed by chief Mestre Yoda.<br>- Told about basilisk spawn attack.<br>- Quest: defeat progenitor basilisk.<br><br>**Scene 3: Ruins & Mystery**<br>- Ancient ruins with two magic stones and mural of ship handing three stones to three people.<br><br>**Conclusion:**<br>- Arrive at the third temple, ready for the final challenge.<br> |
| **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Basilisco Progenitor, bullywugs, sacerdotisa rival, gladiadores, cultistas elementais                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Progenitor Basilisk, bullywugs, rival priestess, gladiators, elemental cultists                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| **Data:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | **Date:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Ficheiros de origem:** s06_grutas_pantano_bullywugs_basilisco_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | **Source files:** s06_grutas_pantano_bullywugs_basilisco_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |




















<!-- ==== s06_grutas_pantano_bullywugs_basilisco_summary.md ==== -->

# Grutas do Pântano: Bullywugs, Baltigard & o Basilisco

| Português | English |
|-----------|---------|
| **Descrição:** O grupo explora grutas a sul após missão da Companhia, cruzando pântano místico. Encontram Baltigard e Cocas, são acolhidos na aldeia dos bullywugs, liderada por Mestre Yoda, que pede ajuda contra basilisco progenitor. Descobrem ruínas com duas pedras mágicas e pintura de nave a entregar três pedras a três pessoas. Sessão termina na entrada do terceiro templo, prontos para novos desafios.<br> | **Description:** The group explores southern caves after a Company quest, crossing a mystical swamp. They meet Baltigard and Cocas, are welcomed to the bullywug village led by Mestre Yoda, who asks for help against the progenitor basilisk. They find ruins with two magic stones and a painting of a ship giving three stones to three people. Session ends at the entrance of the third temple, ready for new challenges.<br> |
| **PCs:** Bok, Sage, Varus, Baltigard, outros [por confirmar] | **PCs:** Bok, Sage, Varus, Baltigard, others [to confirm] |
| **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Basilisco Progenitor, bullywugs, sacerdotisa rival, gladiadores, cultistas elementais | **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Progenitor Basilisk, bullywugs, rival priestess, gladiators, elemental cultists |
| **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring | **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring |
| **Data:** 2025-02-13 | **Date:** 2025-02-13 |
| **Ficheiros de origem:** s06_grutas_pantano_bullywugs_basilisco_resumo.md | **Source files:** s06_grutas_pantano_bullywugs_basilisco_resumo.md |


















