# Vale do Vento Sombrio  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Taverneiro pede investigação ao Vale do Vento Sombrio (rota comercial ao sul).<br>- Viagem noturna, ataque de lobos infestados de fungos.<br>- Encontro com Klikz (kobold não infetado), pede ajuda.<br>- Combate com kobolds infetados (explodem em esporos).<br>- Investigação na aldeia coberta de fungo amarelo.<br>- Armadilhas de esporos e símbolos de culto.<br>- Confronto com Vaelkor Ashbrand, cultistas, elemental da terra menor.<br>- Destruição do altar elimina o fungo.<br>- Recompensas: 50 PO, poção de cura, amuleto de proteção +1, loot extra (carta, armas, robes).<br>- Taberneiro dá 200 PO e refeições grátis.<br> | - Innkeeper requests investigation at Vale do Vento Sombrio (trade route south).<br>- Night journey, attacked by fungus-infested wolves.<br>- Meet Klikz (uninfected kobold), asks for help.<br>- Fight with infected kobolds (explode in spores).<br>- Investigate village covered in yellow fungus.<br>- Spore traps and cult symbols.<br>- Confrontation with Vaelkor Ashbrand, cultists, minor earth elemental.<br>- Destroying the altar ends the fungus threat.<br>- Rewards: 50 GP, potion of healing, +1 amulet, extra loot (letter, weapons, robes).<br>- Innkeeper gives 200 GP and free meals.<br> |
| **NPCs:** Klikz, Vaelkor Ashbrand, cultistas, kobolds, elemental da terra                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | **NPCs:** Klikz, Vaelkor Ashbrand, cultists, kobolds, earth elemental                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Loot:** 50GP, potion of healing, +1 amulet, letter, 200GP (taberneiro), refeições grátis (1 mês), armas/robes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | **Loot:** 50GP, potion of healing, +1 amulet, letter, 200GP (innkeeper), free meals (1 month), weapons/robes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| **Data:** 2025-01-15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | **Date:** 2025-01-15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| **Ficheiros de origem:** s03_vale_do_vento_sombrio_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Source files:** s03_vale_do_vento_sombrio_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |





















<!-- ==== s03_vale_do_vento_sombrio_ready.md ==== -->

# Vale do Vento Sombrio  Ready to Play

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Taverneiro pede investigação ao Vale do Vento Sombrio; rota comercial ao sul, rumores de calamidade e ar doente.<br><br>**Cena 1: Viagem e Perigos**<br>- Viagem noturna.<br>- Testes para detectar perigos e evitar esporos.<br>- Lobos infetados atacam à noite.<br><br>**Cena 2: Aldeia Fúngica**<br>- Aldeia coberta de fungo amarelo.<br>- Encontro com Klikz.<br>- Combate com kobolds infetados.<br><br>**Cena 3: Investigação e Armadilhas**<br>- Investigação da casa central, armadilhas de esporos, símbolos do culto.<br><br>**Cena 4: Confronto no Altar**<br>- Vaelkor Ashbrand, cultistas, elemental da terra.<br>- Destruição do altar elimina ameaça.<br><br>**Conclusão e Recompensas:**<br>- Fungo morre, loot, recompensas do taberneiro.<br> | **Introduction:** Innkeeper requests investigation at Vale do Vento Sombrio; trade route south, rumors of calamity and sickly air.<br><br>**Scene 1: Journey and Perils**<br>- Night journey.<br>- Checks to detect dangers and avoid spores.<br>- Infected wolves attack at night.<br><br>**Scene 2: Fungal Village**<br>- Village covered in yellow fungus.<br>- Meet Klikz.<br>- Fight with infected kobolds.<br><br>**Scene 3: Investigation and Traps**<br>- Investigation of main house, spore traps, cult symbols.<br><br>**Scene 4: Altar Confrontation**<br>- Vaelkor Ashbrand, cultists, earth elemental.<br>- Destroying the altar ends the threat.<br><br>**Conclusion and Rewards:**<br>- Fungus dies, loot, innkeepers rewards.<br> |
| **NPCs:** Klikz, Vaelkor Ashbrand, cultistas, kobolds, elemental da terra                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | **NPCs:** Klikz, Vaelkor Ashbrand, cultists, kobolds, earth elemental                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| **Loot:** 50GP, potion of healing, +1 amulet, letter, 200GP (taberneiro), refeições grátis (1 mês), armas/robes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Loot:** 50GP, potion of healing, +1 amulet, letter, 200GP (innkeeper), free meals (1 month), weapons/robes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| **Data:** 2025-01-15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | **Date:** 2025-01-15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
