# Eribend, Kobolds & O Baile de Blackfair  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Kythria leva grupo ao taberneiro; missão: criar contactos comerciais em Eribend e abrir rotas para Blackfair Manor/Two Fords.<br>- Viagem até acampamento de comerciantes; conhecem Myria (anã) e Jeraldina (meio-orc).<br>- Comerciantes relatam distúrbios e ataques recentes, ambiente de desconfiança.<br>- Ouvem gritos, correm para o início do acampamento: ataque de kobolds e kobold alado (Em honra de Nerzul!).<br>- Kai reconhece um dos kobolds como Cavaleiro da Luz, tenta protegê-lo; kobold suicida-se durante interrogatório.<br>- Entre os pertences dos kobolds: bilhete sobre o baile em Blackfair Manor, referência ao regresso da Dama Sombria, medalhões com moedas de bando rival de Greyhawk.<br>- Grupo ganha pistas de conspiração/ameaça para campanhas futuras.<br> | - Kythria brings group to the innkeeper; mission: establish trade contacts in Eribend and open routes to Blackfair Manor/Two Fords.<br>- Travel to merchant camp; meet Myria (dwarf) and Jeraldina (half-orc).<br>- Merchants report disturbances and recent attacks, atmosphere of distrust.<br>- Hear screams, rush to camp entrance: kobold and winged kobold attack (In honor of Nerzul!).<br>- Kai recognizes a kobold as a Knight of Light, tries to protect him; kobold commits suicide during questioning.<br>- Among the kobolds belongings: ticket to Blackfair Manor ball, reference to return of the Dark Lady, medallions with coins from rival Greyhawk gang.<br>- Group gains clues of conspiracy/threats for future campaigns.<br> |
| **PCs:** Kai, Grix, Varus, Triss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | **PCs:** Kai, Grix, Varus, Triss                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| **NPCs:** Kythria, Taverneiro, Myria, Jeraldina, Cavaleiro da Luz (kobold), Torzac (referência), Dama Sombria (referência)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **NPCs:** Kythria, Innkeeper, Myria, Jeraldina, Knight of Light (kobold), Torzac (reference), Dark Lady (reference)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| **Loot:** Bilhete do baile de Blackfair Manor, medalhões/moedas de Greyhawk, pistas de conspiração                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | **Loot:** Blackfair Manor ball ticket, Greyhawk gang medallions/coins, conspiracy clues                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| **Data:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | **Date:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| **Ficheiros de origem:** s06_eribend_kobolds_baile_blackfair_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | **Source files:** s06_eribend_kobolds_baile_blackfair_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |




















<!-- ==== s06_eribend_kobolds_baile_blackfair_ready.md ==== -->

# Eribend, Kobolds & O Baile de Blackfair  Ready to Play

| Português | English |
|-----------|---------|
| **Introdução:** Kythria convoca o grupo a pedido do taberneiro para missão comercial: criar contactos em Eribend e rotas para Blackfair Manor/Two Fords.<br><br>**Cena 1: Acampamento de Comerciantes**<br>- Conhecem Myria (anã) e Jeraldina (meio-orc), comerciantes preocupadas.<br>- Podem obter rumores sobre ataques e ambiente tenso.<br><br>**Cena 2: Ataque dos Kobolds**<br>- Gritos; kobolds e kobold alado atacam comerciantes.<br>- Kai tenta intervir ao reconhecer um Cavaleiro da Luz entre eles.<br>- Kobold suicida-se antes de revelar tudo.<br><br>**Cena 3: Descobertas & Ganchos**<br>- Loot: bilhete do baile de Blackfair Manor, menção à Dama Sombria, medalhões/moedas de Greyhawk.<br>- Novos ganchos de conspiração e culto para campanhas futuras.<br> | **Introduction:** Kythria calls the group at the innkeepers request for a trade mission: create contacts in Eribend and routes to Blackfair Manor/Two Fords.<br><br>**Scene 1: Merchant Camp**<br>- Meet Myria (dwarf) and Jeraldina (half-orc), worried merchants.<br>- Can get rumors about attacks and tense atmosphere.<br><br>**Scene 2: Kobold Attack**<br>- Screams; kobolds and winged kobold attack merchants.<br>- Kai tries to intervene, recognizing a Knight of Light among them.<br>- Kobold commits suicide before revealing all.<br><br>**Scene 3: Discoveries & Hooks**<br>- Loot: Blackfair Manor ball ticket, mention of the Dark Lady, Greyhawk medallions/coins.<br>- New conspiracy and cult hooks for future campaigns.<br> |
| **PCs:** Kai, Grix, Varus, Triss | **PCs:** Kai, Grix, Varus, Triss |
| **NPCs:** Kythria, Taverneiro, Myria, Jeraldina, Cavaleiro da Luz (kobold), Torzac (referência), Dama Sombria (referência) | **NPCs:** Kythria, Innkeeper, Myria, Jeraldina, Knight of Light (kobold), Torzac (reference), Dark Lady (reference) |
| **Loot:** Bilhete do baile de Blackfair Manor, medalhões/moedas de Greyhawk, pistas de conspiração | **Loot:** Blackfair Manor ball ticket, Greyhawk gang medallions/coins, conspiracy clues |
| **Data:** 2025-02-13 | **Date:** 2025-02-13 |
| **Ficheiros de origem:** s06_eribend_kobolds_baile_blackfair_ready.md | **Source files:** s06_eribend_kobolds_baile_blackfair_ready.md |




















<!-- ==== s06_eribend_kobolds_baile_blackfair_summary.md ==== -->

# Eribend, Kobolds & O Baile de Blackfair

| Português | English |
|-----------|---------|
| **Descrição:** A pedido do taberneiro (via Kythria), o grupo (Kai, Grix, Varus, Triss) parte para Eribend para criar contactos e rotas comerciais. Encontram Myria e Jeraldina, comerciantes alarmadas por ataques de kobolds, incluindo um kobold alado. Kai reconhece um Cavaleiro da Luz entre os inimigos; tenta salvá-lo, mas o kobold suicida-se. Entre o saque: bilhete para o baile de Blackfair Manor, menção ao regresso da Dama Sombria, moedas de um bando rival de Greyhawk. Novos ganchos de conspiração para futuras campanhas.<br> | **Description:** At the innkeepers (via Kythria) request, the group (Kai, Grix, Varus, Triss) goes to Eribend to establish trade contacts and routes. They meet Myria and Jeraldina, merchants alarmed by kobold attacks, including a winged kobold. Kai recognizes a Knight of Light among the enemies; tries to save him, but the kobold commits suicide. Among the loot: ticket for the Blackfair Manor ball, mention of the Dark Ladys return, coins from a rival Greyhawk gang. New conspiracy hooks for future campaigns.<br> |
| **PCs:** Kai, Grix, Varus, Triss | **PCs:** Kai, Grix, Varus, Triss |
| **NPCs:** Kythria, Taverneiro, Myria, Jeraldina, Cavaleiro da Luz (kobold), Torzac (referência), Dama Sombria (referência) | **NPCs:** Kythria, Innkeeper, Myria, Jeraldina, Knight of Light (kobold), Torzac (reference), Dark Lady (reference) |
| **Loot:** Bilhete do baile de Blackfair Manor, medalhões/moedas de Greyhawk, pistas de conspiração | **Loot:** Blackfair Manor ball ticket, Greyhawk gang medallions/coins, conspiracy clues |
| **Data:** 2025-02-13 | **Date:** 2025-02-13 |
| **Ficheiros de origem:** s06_eribend_kobolds_baile_blackfair_resumo.md | **Source files:** s06_eribend_kobolds_baile_blackfair_resumo.md |




















<!-- ==== s06_grutas_pantano_bullywugs_basilisco.txt ==== -->

# Grutas do Pântano: Bullywugs, Baltigard & o Basilisco  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Companhia envia grupo para explorar grutas a sul.<br>- Travessia por pântano místico; ambiente denso, fauna estranha.<br>- Encontram Baltigard (humano, conhecido de Brok) e Cocas (bullywug, amigo de infância de Conan).<br>- Bullywugs acolhem grupo; chefe Mestre Yoda relata ataque de cria de basilisco.<br>- Missão: derrotar basilisco progenitor para proteger a aldeia.<br>- Caminho passa por ruínas antigas com duas pedras mágicas e pintura rupestre de nave a entregar pedras a três pessoas.<br>- Sessão termina à porta do terceiro templo.<br> | - Company sends group to explore southern caves.<br>- Trek through a mystical swamp; dense environment, strange fauna.<br>- Meet Baltigard (human, acquaintance of Brok) and Cocas (bullywug, Conans childhood friend).<br>- Bullywugs welcome group; chief Mestre Yoda reports attack by basilisk spawn.<br>- Quest: defeat progenitor basilisk to protect village.<br>- On the way: ancient ruins with two magic stones and cave painting of a ship handing stones to three people.<br>- Session ends at the door to the third temple.<br> |
| **NPCs:** Baltigard, Cocas, Mestre Yoda (chefe bullywug), Brok, Conan, Basilisco Progenitor, bullywugs, sacerdotisa rival, gladiadores, cultistas elementais                                                                                                                                                                                                                                                                                                                                                                                                       | **NPCs:** Baltigard, Cocas, Mestre Yoda (bullywug chief), Brok, Conan, Progenitor Basilisk, bullywugs, rival priestess, gladiators, elemental cultists                                                                                                                                                                                                                                                                                                                                                                                       |
| **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| **Data:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | **Date:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Ficheiros de origem:** s06_grutas_pantano_bullywugs_basilisco_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **Source files:** s06_grutas_pantano_bullywugs_basilisco_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |




















<!-- ==== s06_grutas_pantano_bullywugs_basilisco_ready.md ==== -->

# Grutas do Pântano: Bullywugs, Baltigard & o Basilisco  Ready to Play

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Introdução:** Companhia contrata grupo para explorar grutas a sul do mapa.<br><br>**Cena 1: Travessia do Pântano**<br>- Ambiente denso e estranho, testes de Sobrevivência para evitar perigos.<br>- Encontram Baltigard (aliado de Brok) e Cocas (amigo de Conan).<br><br>**Cena 2: Aldeia Bullywug**<br>- Recepção pelo chefe Mestre Yoda.<br>- Relato de ataque de cria de basilisco.<br>- Missão: derrotar basilisco progenitor.<br><br>**Cena 3: Ruínas & Mistério**<br>- Ruínas antigas com duas pedras mágicas e pintura de nave entregando três pedras a três pessoas.<br><br>**Encerramento:**<br>- Chegam ao terceiro templo, prontos para o desafio final.<br> | **Introduction:** Company hires group to explore southern caves.<br><br>**Scene 1: Swamp Crossing**<br>- Dense, strange environment, Survival checks to avoid dangers.<br>- Meet Baltigard (Broks ally) and Cocas (Conans friend).<br><br>**Scene 2: Bullywug Village**<br>- Welcomed by chief Mestre Yoda.<br>- Told about basilisk spawn attack.<br>- Quest: defeat progenitor basilisk.<br><br>**Scene 3: Ruins & Mystery**<br>- Ancient ruins with two magic stones and mural of ship handing three stones to three people.<br><br>**Conclusion:**<br>- Arrive at the third temple, ready for the final challenge.<br> |
| **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Basilisco Progenitor, bullywugs, sacerdotisa rival, gladiadores, cultistas elementais                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Progenitor Basilisk, bullywugs, rival priestess, gladiators, elemental cultists                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| **Data:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | **Date:** 2025-02-13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Ficheiros de origem:** s06_grutas_pantano_bullywugs_basilisco_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | **Source files:** s06_grutas_pantano_bullywugs_basilisco_ready.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |




















<!-- ==== s06_grutas_pantano_bullywugs_basilisco_summary.md ==== -->

# Grutas do Pântano: Bullywugs, Baltigard & o Basilisco

| Português | English |
|-----------|---------|
| **Descrição:** O grupo explora grutas a sul após missão da Companhia, cruzando pântano místico. Encontram Baltigard e Cocas, são acolhidos na aldeia dos bullywugs, liderada por Mestre Yoda, que pede ajuda contra basilisco progenitor. Descobrem ruínas com duas pedras mágicas e pintura de nave a entregar três pedras a três pessoas. Sessão termina na entrada do terceiro templo, prontos para novos desafios.<br> | **Description:** The group explores southern caves after a Company quest, crossing a mystical swamp. They meet Baltigard and Cocas, are welcomed to the bullywug village led by Mestre Yoda, who asks for help against the progenitor basilisk. They find ruins with two magic stones and a painting of a ship giving three stones to three people. Session ends at the entrance of the third temple, ready for new challenges.<br> |
| **PCs:** Bok, Sage, Varus, Baltigard, outros [por confirmar] | **PCs:** Bok, Sage, Varus, Baltigard, others [to confirm] |
| **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Basilisco Progenitor, bullywugs, sacerdotisa rival, gladiadores, cultistas elementais | **NPCs:** Baltigard, Cocas, Mestre Yoda, Brok, Conan, Progenitor Basilisk, bullywugs, rival priestess, gladiators, elemental cultists |
| **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring | **Loot:** basilisk eye, three magic stones, elemental ritual scroll, gold, calling ring |
| **Data:** 2025-02-13 | **Date:** 2025-02-13 |
