# Os Fungos do Bosque  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Acordam no Grande Castelo sem memória clara de como chegaram.<br>- Encontram-se na taberna Refúgio do Errante e recebem missão do taberneiro.<br>- Descobrem Borogrove, um treant preocupado com a infestação no bosque.<br>- Recebem uma bolota mágica para auxílio.<br>- Entram na caverna infestada de fungos alienígenas.<br>- Enfrentam Twig Blights, Bullywugs infetados, urso corrompido e criaturas bizarras.<br>- Matam um druida infetado e recuperam seu livro.<br>- Purificam o riacho e regressam ao refúgio.<br>- Recompensas: Staff of Flowers, ouro, gemas, faca de prata, bolota mágica.<br>- Alguns comem cogumelos na taberna.<br>- Todos os PCs sobem de nível.<br> | - Awaken in the Great Castle, memories unclear.<br>- Meet at Refuge of the Wanderer tavern; receive quest from innkeeper.<br>- Discover Borogrove, a treant concerned with the woods infestation.<br>- Receive a magic acorn for aid.<br>- Enter a cave overrun with alien fungus.<br>- Face Twig Blights, infected Bullywugs, corrupted bear, bizarre creatures.<br>- Slay an infected druid and retrieve his book.<br>- Purify the stream; return to the refuge.<br>- Rewards: Staff of Flowers, gold, gems, silver knife, magic acorn.<br>- Some eat mushrooms at the tavern.<br>- All PCs level up.<br> |
| **NPCs:** Major-domo do Castelo, Taverneiro do Refúgio, [Borogrove](borogrove.md), Druida Infetado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | **NPCs:** Castle Majordomo, Refuge Innkeeper, [Borogrove](borogrove.md), Infected Druid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Loot:** Staff of Flowers, ouro, gemas, faca de prata, bolota mágica, Livro do Druida Infetado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | **Loot:** Staff of Flowers, gold, gems, silver knife, magic acorn, Infected Druids Book                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Descrição:** O grupo, recém-chegado ao Refúgio do Errante, aceita a missão do taberneiro para investigar a origem de um fungo alienígena que corrompe um riacho nas proximidades. Guiados por Borogrove, um Treant preocupado, exploram uma caverna infestada, enfrentando criaturas corrompidas e perigos ambientais. Eliminam a ameaça, recuperam um livro de um druida infetado e regressam à taberna.                                                                                                                                                                                                                                                                               | **Description:** The group, newly arrived at The Wanderers Refuge, accepts the innkeepers quest to investigate the source of an alien fungus corrupting a nearby stream. Guided by Borogrove, a concerned Treant, they explore an infested cave, facing corrupted creatures and environmental hazards. They eliminate the threat, recover a book from an infected druid, and return to the inn.                                                                                                                                                                                                             |
| **PCs:** Dustin, Triss, Vaunia, Conan, Markus, Grix'Molah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | **PCs:** Dustin, Triss, Vaunia, Conan, Markus, Grix'Molah                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| **NPCs:** Taverneiro, Borogrove (Treant)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | **NPCs:** Innkeeper, Borogrove (Treant)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Loot:** Livro do druida (entregue ao taberneiro), Cajado das Flores (Markus), 10 moedas de ouro (GrixMolah), 3 gemas (1 Conan, 2 Triss), Faca de prata (Triss), Bolota mágica (Vaunia)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | **Loot:** Druids book (given to innkeeper), Staff of Flowers (Markus), 10 gold coins (GrixMolah), 3 gems (1 Conan, 2 Triss), Silver knife (Triss), Magic acorn (Vaunia)                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| **Data:** 2025-01-02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | **Date:** 2025-01-02                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| **Ficheiros de origem:** s01_os_fungos_do_bosque_01_-_2025-01-02.txt, s01_os_fungos_do_bosque_sessao_01__(02-jan).md, s01_os_fungos_do_bosque_sessao_01_-_riacho_(02-jan).md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | **Source files:** s01_os_fungos_do_bosque_01_-_2025-01-02.txt, s01_os_fungos_do_bosque_sessao_01__(02-jan).md, s01_os_fungos_do_bosque_sessao_01_-_riacho_(02-jan).md                                                                                                                                                                                                                                                                                                                                                                                                                                       |



















<!-- ==== s02_dificuldades_na_mina_de_obsidiana_bullet.md ==== -->

# Dificuldades na Mina de Obsidiana  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| - Taverneiro tem visão mágica de um anão ferido (Kristryd Splitanvil) a pedir ajuda numa mina.<br>- Grupo recebe instruções de teleporte mágico para mina de obsidiana (Montanhas de Cairn, perto de Blackstone).<br>- Exploração claustrofóbica da mina: corredores apertados, trilhos enferrujados.<br>- Encontram esqueleto de anão (Thargrin), carta de despedida.<br>- Encontros com: violet fungi, rust monster, giant spider, darkmantle, piercers, yellow mold, gelatinous cube (Triss quase morre).<br>- Sons de arranhar e cliques: Hook Horror.<br>- Derrotam Hook Horror; coletam a cabeça e 6 dentes grandes.<br>- Encontram Kristryd Splitanvil, prefeito e clérigo de Pelor, ferido.<br>- Kristryd pede para salvar Blackstone.<br>- Entregam carta de Thargrin; homenagem.<br>- Triss recebe topázio como recompensa.<br>- Kristryd promete ajudar em futuras expedições.<br>- Reforço de alianças com Blackstone.<br> | - Innkeeper receives magical vision of a wounded dwarf (Kristryd Splitanvil) asking for help in a mine.<br>- Group receives magical teleport instructions to the obsidian mine (Cairn Mountains, near Blackstone).<br>- Claustrophobic exploration of the mine: tight corridors, rusty tracks.<br>- Find a dwarf skeleton (Thargrin), farewell letter.<br>- Encounters: violet fungi, rust monster, giant spider, darkmantle, piercers, yellow mold, gelatinous cube (Triss nearly dies).<br>- Scratching and clicking sounds: Hook Horror.<br>- Defeat Hook Horror; collect its head and 6 large teeth.<br>- Find Kristryd Splitanvil, mayor and cleric of Pelor, wounded.<br>- Kristryd asks to save Blackstone.<br>- Deliver Thargrins letter; tribute to the fallen miner.<br>- Triss receives a topaz as reward.<br>- Kristryd promises help in future expeditions.<br>- Stronger alliances with Blackstone.<br> |
| **NPCs:** Kristryd Splitanvil, Thargrin (anão morto), Hook Horror, Rust Monster, Giant Spider                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **NPCs:** Kristryd Splitanvil, Thargrin (dead dwarf), Hook Horror, Rust Monster, Giant Spider                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| **Loot:** Hook horror teeth, topázio (Triss), carta de Thargrin, ajuda futura de Kristryd, item mágico possível                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | **Loot:** Hook horror teeth, topaz (Triss), Thargrins letter, future help from Kristryd, possible magic item                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| **Data:** 2025-01-09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | **Date:** 2025-01-09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| **Ficheiros de origem:** s02_-_2025-01-09.md, s02_dificuldades_na_mina_de_obsidiana_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | **Source files:** s02_-_2025-01-09.md, s02_dificuldades_na_mina_de_obsidiana_pontos.md                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |




















<!-- ==== s03_emboscada_nas_margens_do_rio_neem_bullet.md ==== -->

# Emboscada nas Margens do Rio Neem  Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | English                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
